City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
120,Anadyr,RU,64.75,177.4833,-7.1,71,0,6.71,Clear
121,Isangel,VU,-19.55,169.2667,81.55,65,15,13.71,Clouds
122,Kiruna,SE,67.8557,20.2251,18.52,86,100,2.3,Snow
123,Penon Blanco,MX,24.7897,-104.0369,81.23,16,53,1.77,Clouds
124,Bajos De Haina,DO,18.4154,-70.0332,84.16,64,40,13.8,Clouds
125,Tottori,JP,35.5,134.2333,46.47,66,75,18.41,Clouds
126,Dingle,PH,10.9995,122.6711,73.29,93,90,3.71,Clouds
127,Dudinka,RU,69.4058,86.1778,2.62,100,55,7.72,Clouds
128,Nan,TH,18.8333,100.6667,66.45,71,0,0.65,Clear
129,Geraldton,AU,-28.7667,114.6,73.81,83,100,9.22,Clouds
130,Iberia,US,29.9502,-91.7507,68.07,59,0,12.66,Clear
131,Sinnamary,GF,5.3833,-52.95,76.59,78,99,10.87,Clouds
132,Tasiilaq,GL,65.6145,-37.6368,10.92,86,100,3.83,Clouds
133,New Norfolk,AU,-42.7826,147.0587,61.72,62,100,1.99,Clouds
134,Takoradi,GH,4.8845,-1.7554,79.21,85,6,7.9,Clear
135,Baft,IR,29.234,56.6057,43.11,36,98,2.73,Clouds
136,Yar-Sale,RU,66.8333,70.8333,-13.05,100,55,3.38,Clouds
137,Finschhafen,PG,-6.6024,147.8681,81.99,78,99,4.29,Clouds
138,Batagay,RU,67.6333,134.6333,-45.83,100,50,3.29,Clouds
139,Zharkovskiy,RU,55.849,32.2697,28.83,93,100,10.42,Snow
140,Bredasdorp,ZA,-34.5322,20.0403,66.09,71,1,14.65,Clear
141,Dolores,AR,-36.3132,-57.6792,73.17,29,2,11.52,Clear
142,Buala,SB,-8.145,159.5921,81.43,78,99,1.54,Clouds
143,Faanui,PF,-16.4833,-151.75,81.39,72,5,6.11,Clear
144,San Cristobal,VE,7.7669,-72.225,77.18,49,11,2.42,Clouds
145,Seinajoki,FI,62.7945,22.8282,22.98,96,100,2.3,Mist
146,Yulara,AU,-25.2406,130.9889,78.3,47,1,3.51,Clear
147,Gorontalo,ID,0.5412,123.0595,75.22,95,100,2.46,Rain
148,Ribeira Grande,PT,38.5167,-28.7,59.4,72,75,8.01,Clouds
149,Semme,FR,46.1963,1.5007,43.21,94,4,3.78,Clear
150,East London,ZA,-33.0153,27.9116,74.12,92,11,4.99,Clouds
151,Burnie,AU,-41.0667,145.9167,61.95,88,80,8.5,Clouds
152,Cherskiy,RU,68.75,161.3,-24.92,96,100,2.73,Clouds
153,Castrovillari,IT,39.8203,16.2123,51.3,90,49,4.88,Clouds
154,Matara,LK,5.9485,80.5353,73.76,92,100,5.97,Clouds
155,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,67,75,8.95,Clouds
156,Tawang,IN,27.5833,91.8667,39.69,91,98,0.34,Clouds
157,Lasa,IT,46.6166,10.7002,49.08,80,26,7.58,Clouds
158,Emirdag,TR,39.0197,31.15,40.71,58,16,7.9,Clouds
159,Akyab,MM,20.15,92.9,67.06,85,2,6.42,Clear
160,Acarau,BR,-2.8856,-40.12,78.66,81,100,11.12,Clouds
161,Malpe,IN,13.35,74.7167,78.1,92,3,4.09,Clear
162,Upernavik,GL,72.7868,-56.1549,-2.15,92,100,26.02,Clouds
163,Katsuura,JP,35.1333,140.3,51.8,56,100,10.67,Clouds
164,Tuy Hoa,VN,13.0833,109.3,70.3,89,99,7.67,Clouds
165,Praxedis Guerrero,MX,31.3667,-106.0167,53.06,67,100,15.88,Clouds
166,Bengkulu,ID,-3.8004,102.2655,74.39,90,72,4.38,Clouds
167,Kattivakkam,IN,13.2167,80.3167,78.08,80,6,3.78,Clear
168,Kirakira,SB,-10.4544,161.9205,82.27,80,99,5.32,Clouds
169,Ugoofaaru,MV,5.6667,73.0,79.97,72,31,7.9,Clouds
170,Karachi,PK,24.9056,67.0822,64.22,88,98,0.0,Mist
171,Alofi,NU,-19.0595,-169.9187,84.09,74,78,11.5,Rain
172,Cayenne,GF,4.9333,-52.3333,77.04,88,75,6.91,Clouds
173,Chokurdakh,RU,70.6333,147.9167,-50.87,100,79,0.81,Clouds
174,Pozhva,RU,59.0912,56.0847,-9.89,99,85,3.58,Clouds
175,Leeuwarden,NL,53.2014,5.8086,44.6,89,100,12.66,Clouds
176,Touros,BR,-5.1989,-35.4608,80.92,72,57,12.19,Clouds
177,Sitka,US,57.0531,-135.33,39.09,87,100,6.91,Rain
178,Esperance,AU,-33.8667,121.9,66.04,90,25,12.91,Clouds
179,Faya,SA,18.3851,42.4509,57.72,71,42,2.17,Clouds
180,Codrington,AU,-38.2667,141.9667,61.56,79,0,1.16,Clear
181,Hailar,CN,49.2,119.7,-18.56,99,11,4.65,Clouds
182,Antsohihy,MG,-14.8796,47.9875,75.58,96,69,2.59,Rain
183,Tagab,AF,34.855,69.6492,50.18,74,97,3.22,Clouds
184,Longyearbyen,SJ,78.2186,15.6401,4.84,78,40,5.75,Clouds
185,Dubrovnik,HR,42.6481,18.0922,51.44,81,75,2.3,Clouds
186,Jining,CN,35.405,116.5814,35.98,49,0,2.89,Clear
