City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Seoul,KR,2023-02-19 08:30:09,37.5683,126.9778,43.99,24,0,16.11
185,Hobyo,SO,2023-02-19 08:32:11,5.3505,48.5268,81.82,57,81,22.75
186,Taltal,CL,2023-02-19 08:30:25,-25.4,-70.4833,70.14,86,35,0.98
187,Kirksville,US,2023-02-19 08:29:57,40.1948,-92.5833,42.75,51,100,14.97
188,General Roca,AR,2023-02-19 08:32:12,-39.0333,-67.5833,61.63,14,34,8.9
189,Mackay,AU,2023-02-19 08:32:13,-21.15,149.2,78.62,72,70,11.39
190,Satara,IN,2023-02-19 08:32:13,17.6833,73.9833,90.27,11,0,12.21
191,Yeppoon,AU,2023-02-19 08:32:14,-23.1333,150.7333,80.38,73,100,16.24
192,Sinegorye,RU,2023-02-19 08:32:14,62.0788,150.477,-28.61,100,94,1.81
193,Saint-Pierre,RE,2023-02-19 08:32:16,-21.3393,55.4781,87.48,66,20,25.32
194,East London,ZA,2023-02-19 08:28:18,-33.0153,27.9116,76.14,78,40,9.22
195,Los Llanos De Aridane,ES,2023-02-19 08:32:17,28.6585,-17.9182,56.95,72,40,4.61
196,Coquimbo,CL,2023-02-19 08:31:57,-29.9533,-71.3436,62.33,77,0,4.61
197,Bonavista,CA,2023-02-19 08:32:18,48.6499,-53.1147,14.02,79,98,12.35
198,Saint George,US,2023-02-19 08:32:19,37.1041,-113.5841,37.99,65,0,5.75
199,Kokomo,US,2023-02-19 08:30:00,40.4864,-86.1336,40.01,61,100,13.8
200,San Jose,US,2023-02-19 08:30:14,37.3394,-121.895,52.0,59,0,1.99
201,Bambous Virieux,MU,2023-02-19 08:32:20,-20.3428,57.7575,86.22,70,75,11.5
202,Garoua Boulai,CM,2023-02-19 08:32:21,5.8833,14.55,86.32,12,41,11.18
203,Gambo,CF,2023-02-19 08:30:56,4.6482,22.2633,95.31,13,99,5.91
204,Provideniya,RU,2023-02-19 08:32:23,64.3833,-173.3,-8.81,91,92,9.95
205,French Harbor,HN,2023-02-19 08:32:24,16.35,-86.4333,78.87,74,6,13.94
206,Talnakh,RU,2023-02-19 08:32:24,69.4865,88.3972,11.21,96,95,8.37
207,Husavik,IS,2023-02-19 08:32:25,66.0449,-17.3389,32.95,79,100,17.92
208,Kulhudhuffushi,MV,2023-02-19 08:32:25,6.6221,73.07,80.83,62,100,8.05
209,Bengkulu,ID,2023-02-19 08:32:26,-3.8004,102.2655,83.55,69,100,5.79
210,Abu Kamal,SY,2023-02-19 08:32:27,34.4506,40.9171,58.3,27,0,3.09
211,Bollnas,SE,2023-02-19 08:32:28,61.3482,16.3946,30.38,68,2,14.09
